Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Gender,Clicked on Ad,Hour,Day,Month,Year,Interaction
62.26,32.0,69481.85,172.83,1,No,21,9,6,2016,10760.3958
41.73,31.0,61840.26,207.17,1,No,17,16,1,2016,8645.204099999999
44.4,30.0,57877.15,172.83,0,No,10,29,6,2016,7673.652
59.88,28.0,56180.93,207.17,0,No,14,21,6,2016,12405.3396
49.21,30.0,54324.73,201.58,0,Yes,10,21,7,2016,9919.7518
51.3,26.0,51463.17,131.68,0,No,13,15,5,2016,6755.184
66.08,43.0,73538.09,136.4,1,Yes,21,3,4,2016,9013.312
36.08,26.0,74903.41,228.78,1,No,6,11,3,2016,8254.3824
46.14,33.0,43974.49,196.77,1,No,6,24,3,2016,9078.9678
51.65,51.0,74535.94,188.56,0,No,5,31,1,2016,9739.124
47.64,29.0,53431.35,200.71,0,No,0,9,3,2016,9561.824400000001
65.07,34.0,34191.23,187.09,1,Yes,18,5,4,2016,12173.9463
55.6,24.0,52252.91,167.22,0,Yes,6,11,6,2016,9297.432
62.26,25.0,50671.6,138.71,1,No,13,18,3,2016,8636.0846
78.84,27.0,69646.35,239.32,0,No,1,21,5,2016,18867.9888
56.39,40.0,40468.53,140.46,0,Yes,16,3,1,2016,7920.539400000001
54.43,39.0,56180.93,124.44,0,No,7,3,1,2016,6773.2692
60.23,43.0,31092.93,234.26,1,Yes,21,3,4,2016,14109.4798
41.73,31.0,61840.26,207.17,1,No,14,21,6,2016,8645.204099999999
89.05,38.0,57868.44,170.13,1,Yes,19,15,1,2016,15150.0765
56.39,46.0,54286.1,193.29,0,Yes,23,28,2,2016,10899.623099999999
39.96,45.0,59886.58,174.88,0,Yes,12,5,3,2016,6988.2047999999995
59.22,28.0,53058.91,217.37,0,No,18,30,5,2016,12872.6514
47.74,33.0,68094.85,188.56,1,No,15,18,4,2016,9001.8544
86.06,35.0,73889.99,158.29,1,No,13,18,3,2016,13622.437399999999
55.6,30.0,58677.69,184.88,0,Yes,21,6,5,2016,10279.328
